date,open,high,low,close,volume
2023-01-01,1.1200,1.1250,1.1150,1.1230,10000
2023-01-02,1.1230,1.1300,1.1200,1.1280,15000
2023-01-03,1.1280,1.1350,1.1250,1.1305,12000
2023-01-04,1.1305,1.1320,1.1255,1.1290,11000
2023-01-05,1.1290,1.1340,1.1260,1.1325,13000
2023-01-06,1.1325,1.1380,1.1300,1.1350,14000
2023-01-07,1.1350,1.1400,1.1330,1.1385,16000
2023-01-08,1.1385,1.1420,1.1355,1.1400,17000
2023-01-09,1.1400,1.1450,1.1370,1.1430,18000
2023-01-10,1.1430,1.1500,1.1400,1.1480,19000
2023-01-11,1.1480,1.1550,1.1450,1.1525,20000
2023-01-12,1.1525,1.1600,1.1500,1.1575,21000
2023-01-13,1.1575,1.1650,1.1550,1.1625,22000
2023-01-14,1.1625,1.1700,1.1600,1.1675,23000
2023-01-15,1.1675,1.1750,1.1650,1.1725,24000
2023-01-16,1.1725,1.1800,1.1700,1.1775,25000
2023-01-17,1.1775,1.1850,1.1750,1.1825,26000
2023-01-18,1.1825,1.1900,1.1800,1.1875,27000
2023-01-19,1.1875,1.1950,1.1850,1.1925,28000
2023-01-20,1.1925,1.2000,1.1900,1.1975,29000
